id,timestamp,vehicle_id,latitude,longitude,altitude,speed,rpm,engine_temp,throttle_pos,engine_load,fuel_level,fl_pressure,fl_temp,fl_battery,fr_pressure,fr_temp,fr_battery,rl_pressure,rl_temp,rl_battery,rr_pressure,rr_temp,rr_battery
141,2025-11-07 04:24:31+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973939667,107.6431397,694.3,9,1334,87,18.43137,36.86274,,,,,,,,,,,,,
142,2025-11-07 04:24:36+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974034333,107.6430702,694.2,11,1644,87,18.03922,26.66667,,,,,,,,,,,,,
143,2025-11-07 04:24:41+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974189167,107.6430583,693.9,14,2088,87,17.64706,28.23529,,,,,,,,,,,,,
144,2025-11-07 04:24:46+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974317833,107.643049,694,6,835,87,16.86275,31.37255,,,,,,,,,,,,,
145,2025-11-07 04:24:51+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974430333,107.643036,694,16,2376,87,21.17647,46.66667,,,,,,,,,,,,,
146,2025-11-07 04:24:56+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974648833,107.6430172,694.5,16,2304,87,17.64706,19.21569,,,,,,,,,,,,,
147,2025-11-07 04:25:01+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9748295,107.643007,694.8,12,982,88,17.2549,30.19608,,,,,,,,,,,,,
148,2025-11-07 04:25:06+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974995167,107.6429952,694,11,903,88,16.86275,31.37255,,,,,,,,,,,,,
149,2025-11-07 04:25:11+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975122,107.6429878,693.4,9,723,88,17.2549,49.80392,,,,,,,,,,,,,
150,2025-11-07 04:25:16+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975246667,107.6429767,692.8,10,780,88,17.2549,43.52941,,,,,,,,,,,,,
151,2025-11-07 04:25:21+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975343,107.6429965,692.2,9,750,88,20.39216,86.66666,,,,,,,,,,,,,
152,2025-11-07 04:25:42+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9753725,107.6430065,690.1,9,627,88,20.78431,99.21568,,,,,,,,,,,,,
153,2025-11-07 04:25:47+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975385,107.6430738,689.5,17,862,88,18.43137,61.56863,,,,,,,,,,,,,
154,2025-11-07 04:25:52+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975402333,107.6432705,689.3,15,794,90,18.43137,63.92157,,,,,,,,,,,,,
155,2025-11-07 04:25:57+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975415333,107.643458,688.9,16,870,90,18.03922,52.54902,,,,,,,,,,,,,
156,2025-11-07 04:26:02+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975431333,107.6436685,688.5,17,893,90,18.43137,54.90196,,,,,,,,,,,,,
157,2025-11-07 04:26:07+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975451,107.6438853,688.4,17,912,88,17.64706,41.56863,,,,,,,,,,,,,
158,2025-11-07 04:26:12+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975473667,107.6441133,687.7,16,857,88,17.2549,43.13726,,,,,,,,,,,,,
159,2025-11-07 04:26:17+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975492833,107.6443258,686.7,15,794,88,17.2549,45.09804,,,,,,,,,,,,,
160,2025-11-07 04:26:22+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9755155,107.6445267,685.9,17,907,88,19.60784,66.66666,,,,,,,,,,,,,
161,2025-11-07 04:26:27+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9755385,107.644733,685.3,18,971,87,16.86275,31.76471,,,,,,,,,,,,,
162,2025-11-07 04:26:32+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975555,107.645183,674.6,16,819,87,16.86275,36.86274,,,,,,,,,,,,,
163,2025-11-07 04:26:38+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975586667,107.645302,676.8,14,752,86,19.60784,67.45098,,,,,,,,,,,,,
164,2025-11-07 04:26:42+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975626167,107.6454195,684.7,21,1082,86,20,61.56863,,,,,,,,,,,,,
165,2025-11-07 04:26:48+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975665,107.6457093,687.1,25,1304,87,17.64706,38.82353,,,,,,,,,,,,,
166,2025-11-07 04:26:52+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975683333,107.6459518,687.1,20,1046,87,15.68627,20.39216,,,,,,,,,,,,,
167,2025-11-07 04:26:58+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975693,107.646262,685.6,19,976,86,18.82353,56.86274,,,,,,,,,,,,,
168,2025-11-07 04:27:02+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975711833,107.6464413,684.8,15,792,86,16.86275,38.82353,,,,,,,,,,,,,
169,2025-11-07 04:27:08+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975734167,107.6466823,685.2,15,743,86,18.82353,66.66666,,,,,,,,,,,,,
170,2025-11-07 04:27:13+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975763333,107.6468585,686.7,15,788,87,16.86275,38.82353,,,,,,,,,,,,,
171,2025-11-07 04:27:18+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975787667,107.6470527,684.3,8,1028,87,18.03922,47.05882,,,,,,,,,,,,,
172,2025-11-07 04:27:28+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975799,107.6471527,684.5,1,0,87,20.39216,0,,,,,,,,,,,,,
173,2025-11-07 04:27:48+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975804,107.6471848,689.4,4,1282,86,30.19608,93.33334,,,,,,,,,,,,,
174,2025-11-07 04:27:53+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.97581,107.6472428,690.9,15,753,87,18.03922,63.52941,,,,,,,,,,,,,
